alim_code;alim_nom_fr;carbo;alim_image_url
12762;Fromage de brebis Corse à pâte molle;traces;
12763;Tome des Bauges;traces;
12827;Fromage de brebis à pâte pressée;traces;
11220;Vinaigre de vin rouge;traces;
13033;Olive verte, en saumure, égouttée;traces;
20270;Épinard, jeunes pousses pour salades, cru;< 0,85;
20336;Épinard, bouilli/cuit à l'eau;< 0,85;
36031;Poulet, cuisse, viande et peau, bouilli/cuit à l'eau;< 0,55;
16654;Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux;< 0,55;
16614;Matière grasse végétale (type margarine) à 80% MG, salée;< 0,5;
26000;Anchois, filets à l'huile, semi-conserve, égoutté;< 0,2;
16738;Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel;< 0,2;
25220;Choucroute, sans garniture, égouttée, cuite;< 0,1;
6100;Boeuf, entrecôte, partie maigre, grillée/poêlée;< 0,1;
28451;Porc, échine, rôtie/cuite au four;< 0,1;
21506;Agneau, épaule, rôtie/cuite au four;< 0,1;
28505;Corned-beef, appertisé;< 0,1;
13032;Olive noire, en saumure, égouttée;< 0,1;
13131;Olive noire, à l'huile (à la grecque);< 0,1;
40004;Cervelle, porc, braisée;< 0,05;
6252;Boeuf, steak haché 10% MG, cru;< 0,05;
25035;Sauté d'agneau au curry, préemballé;-;
25400;Croque-monsieur, fait maison;-;
20106;Champignon, truffe noire, crue;-;
20141;Courge doubeurre (butternut), pulpe, cuite;-;
20202;Champignon noir, séché;-;
20800;Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique;-;
20803;Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20806;Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique;-;
20807;Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique;-;
20808;Concombre, pulpe avec graines, cru, prélevé à la Martinique;-;
20809;Concombre, pulpe, cru, prélevé à la Martinique;-;
20811;Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20813;Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20820;Gombo, entier, appertisé, non égoutté, prélevé à la Martinique;-;
20826;Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20827;Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20828;Massissi, pulpe, cru, prélevé à la Martinique;-;
20829;Papaye, pulpe, crue, prélevée à la Martinique;-;
20830;Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique;-;
20833;Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique;-;
20834;Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique;-;
20835;Tomate, entière, crue, prélevée à la Martinique;-;
4007;Pomme de terre nouvelle, bouillie/cuite à l'eau;-;
13402;Ananas, pulpe, cru , prélevé à la Martinique;-;
13403;Caïmite, pulpe, cru, prélevé à la Martinique;-;
13404;Cerise acérola, pulpe, crue, prélevée à la Martinique;-;
13405;Chadèque, pulpe, cru, prélevé à la Martinique;-;
13407;Goyave, pulpe, purée, prélevée à la Martinique;-;
13408;Jus de carambole, prélevé à la Martinique, jus filtré;-;
13409;Jus de carambole, prélevée à la Martinique, jus non filtré;-;
13410;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;-;
13411;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;-;
13412;Jus de corossol, prélevé à la Martinique;-;
13413;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;-;
13414;Jus de grenade, prélevée à la Martinique;-;
13415;Jus de lime, pur jus, prélevé à la Martinique;-;
13416;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;-;
